PROPERTY ID (T/WCAD),Food_Permit_Number,Food_Permit_Area,Name,Street,PERMIT SUBTYPE,SERVICE TYPE,Food_Permit_Year,Location 1,STREET NUMBER,Street Name,STREET DIRECTION,STREET SUFFIX,SUITE,OWNER NAME,OWNER MAILING ADDRESS,OWNER MAILING CITY,OWNER MAILING STATE,OWNER MAILING ZIP,FIXED FOOD TYPE
155623,2013130926 FP,0,7-Eleven Convenience Store # 36564A,"7002 N Fm 620 Rd
Austin, Tx 78732
",Retail Food,,10/01/2018,"7002 N FM 620 RD
AUSTIN, TX 78732
",7002,"FM 620
",N ,RD,,7-ELEVEN INC.,P O BOX 219088,DALLAS,TEXAS,75221,Convenience Store
852232,2006001544 FP,0,Circle A,,Retail Food,,10/01/2018,,,"#VALUE!
",,,,AKBAR S. MOMIN,7107 E. HWY 290 EB,AUSTIN,TX,78723,Convenience Store
,2006008140 FP,100,NW Pony Colt League (AISD),,Food Service,Carryout,10/01/2018,,,"#VALUE!
",,,,NORTHWEST LITTLE LEAGUE,4908 WEST FRANCES PLACE,AUSTIN,TX,78731,Concession Stand
,2012111726 FP,100,Tokyo Garden Catering,"14028 N Us 183 Hwy Svrd Sb
Austin, Tx 78613
",Retail Food,,10/01/2018,"14028 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",14028,"US 183 HWY SVRD
",N ,SB,,"TOKYO GARDENS CATERING, LLC/LARRY PAYTON",1249 BLALOCK RD. STE. D,HOUSTON,TEXAS,77055,Supermarket
,2013093555 FP,665,Hay Elotes,"2214 E 7Th St
Austin, Tx 78702
(30.261354, -97.716627)",Food Service,,10/01/2018,"2214 E 7TH ST
AUSTIN, TX 78702
(30.261354, -97.716627)",2214,"7TH
(29.52033, -98.59599)",E ,ST,,IVAN GONZALEZ ROMERO,4312 DUDLEY DR,AUSTIN,TX,78735,
544747,2005003266 FP,200,Seek & Say Enrichment Day Care,"6123 Fm 969 Rd
Austin 78725
",Food Service,Seated,10/01/2018,"6123 FM 969 RD
AUSTIN 78725
",6123,"FM 969
",,RD,,SHIRLEY BROWN,6123 FM 969 RD.,AUSTIN,TX,78724,Child Care
,2006002614 FP,300,Childrens Choice at Future Stars Child Dev. Ctr,,Food Service,Seated,10/01/2018,,,"#VALUE!
",,,,ATTN: LASHANDA JACKSON,3819 S. IH 35,AUSTIN,TX,78741,Child Care
,2011074105 FP,400,Creek Side Cafe,"8310 N Capital Of Texas Hwy Sb Bunit 155
Austin, Tx 78759
",Food Service,Cafeteria/Buffet,10/01/2018,"8310 N CAPITAL OF TEXAS HWY SB Bunit 155
AUSTIN, TX 78759
",8310,"CAPITAL OF TEXAS HWY
",N ,SB,Bunit 155,MARIA LETICIA URQUIZA,"8310 N. CAPITAL OF TEXAS HWY, SUITE 155",AUSTIN,TEXAS,78731,General Food Service
,2013004137 FP,400,Hampton Inn,"6401 W Us 290 Hwy
Austin, Tx 78749
",Food Service,Seated,10/01/2018,"6401 W US 290 HWY
AUSTIN, TX 78749
",6401,"US 290
",W ,HWY,,"R & H HOSPITALITY,INC.",6401 US 290 W.,AUSTIN,TEXAS,78735,General Food Service
R066171,2010008672 FP,500,TJ Donuts and Kolaches,"12129 N Fm 620 Rd
Austin, Tx 78750
",Food Service,Carry Out,10/01/2018,"12129 N FM 620 RD
AUSTIN, TX 78750
",12129,"FM 620
",N ,RD,,KYONG SEOB PARK,12129 N FM 620 SUITE 448,AUSTIN,TEXAS,78750,Other
,2006001621 FP,500,HEB Food Store #225 - Hwy 71 (Deli/Cheese),"7010 W Sh 71
Austin 78735
(30.235969, -97.877457)",Food Service,Seated,10/01/2018,"7010 W SH 71
AUSTIN 78735
(30.235969, -97.877457)",7010,"SH
",W ,71,,"HEB GROCERY COMPANY, L.P.",PO BOX 839986,SAN ANTONIO,TX,78283,Restaurant
,2007102419 FP,500,El Pollo Rico #4,"730 W Stassney Ln
Austin, Tx 78745
(30.209029, -97.78292)",Food Service,Carry Out,10/01/2018,"730 W STASSNEY LN
AUSTIN, TX 78745
(30.209029, -97.78292)",730,"STASSNEY
",W ,LN,,KASAMALI ENTERPRISES,3401 ANDTREE BLVD.,AUSTIN,TEXAS,78724,Restaurant
,2005004437 FP,500,Hampton Inn-Austin NW,"3908 W Braker Ln
Austin, Tx 78759
(30.39708, -97.735243)",Food Service,Seated,10/01/2018,"3908 W BRAKER LN
AUSTIN, TX 78759
(30.39708, -97.735243)",3908,"BRAKER
",W ,LN,,"APPLE NINE HOSPITALITY MANAGEMENT, INC","10370 RICHMOND AVE, #150",HOUSTON,TX,77042,Other
,2007133439 FP,500,Sesame Hill,"6156 W Us 290 Hwy Wb Bldg A
Austin, Tx 78735
",Food Service,Carry Out,10/01/2018,"6156 W US 290 HWY WB Bldg A
AUSTIN, TX 78735
",6156,"US 290 HWY
",W ,WB,Bldg A,"SESAME HILL, INC",7407 PONOMA TR.,AUSTIN,TX,78749,Restaurant
,2016033976 FP,500,Holiday Inn Express & Suites,"12703 N Fm 620 Rd
Austin, Tx 78750
",Food Service,,10/01/2018,"12703 N FM 620 RD
AUSTIN, TX 78750
",12703,"FM 620
",N ,RD,,PARMINDER SINGH,12703 RR 620 NW,AUSTIN,TEXAS,78750,Other
,2006006077 FP,500,Safe Place School &CDC,,Food Service,Seated,10/01/2018,,,"#VALUE!
",,,,JULIA SPANN,P.O.BOX 19454,AUSTIN,TX,78760,Child Care
155626,2006005634 FP,750,Boat House Grill,"6816 N Fm 620 Rd Unit B
Austin, Tx 78732
",Food Service,Seated,10/01/2018,"6816 N FM 620 RD Unit B
AUSTIN, TX 78732
",6816,"FM 620
",N ,RD,Unit B,TRACY COLLINS,6812 N. FM 620,AUSTIN,TX,78732,Restaurant
,2005006408 FP,800,McDonald's   #14774,"5017 W Us 290 Hwy Eb
Austin, Tx 78749
",Food Service,Seated,10/01/2018,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",5017,"US 290 HWY
",W ,EB,,JAMES M. BENTON,"5508 HWY 290 WEST, SUITE 201",AUSTIN,TX,78735,Restaurant
,2013125423 FP,940,P. Terry's Burger Stand,"12018 Research Blvd Sb
Austin, Tx 78759
(30.425089, -97.75179)",Food Service,,10/01/2018,"12018 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.425089, -97.75179)",12018,"RESEARCH BLVD
",,SB,,"TERRY ENTERPRISES VIII,LLC",5555 N. LAMAR BLVD STE #E113,AUSTIN,TEXAS,78751,General Food Service
155624,2005000818 FP,1000,Smokey J's Barbeque #1,"7008 N Fm 620 Rd
Austin, Tx 78732
",Food Service,Carryout,10/01/2018,"7008 N FM 620 RD
AUSTIN, TX 78732
",7008,"FM 620
",N ,RD,,JAMES D. CLIFT,1413 BRIAN WOOD DR.,CEDAR PARK,TX,78613,General Food Service
,2013082039 FP,1000,Home 2 Suites,"14022 N Us 183 Hwy Svrd
Austin, Tx 78613
",Food Service,Seated,10/01/2018,"14022 N US 183 HWY SVRD
AUSTIN, TX 78613
",14022,"US 183 HWY
",N ,SVRD,,PURE LODGING  HOSPITALITY,14022 US HWY 183 SRVD SB,AUSTIN,TEXAS,78717,General Food Service
,2011034331 FP,1000,"Yogurtland, Austin","2525 W Anderson Ln Bunit 125
Austin, Tx 78757
(30.356921, -97.73276)",Food Service,Seated,10/01/2018,"2525 W ANDERSON LN Bunit 125
AUSTIN, TX 78757
(30.356921, -97.73276)",2525,"ANDERSON
",W ,LN,Bunit 125,"ASIAN INSPIRED VENTURES, LLC",2525 W. ANDERSON LN. STE. 125 BLDG.1,AUSTIN,TEXAS,78757,General Food Service
,2006004798 FP,1000,Sonic,"7714 W Sh 71 Bldg A
Austin, Tx 78735
(30.242603, -97.882638)",Food Service,Carryout,10/01/2018,"7714 W SH 71 Bldg A
AUSTIN, TX 78735
(30.242603, -97.882638)",7714,"SH
",W ,71,Bldg A,JERRY CONWAY,P.O.BOX 17788,AUSTIN,TX,78760,Restaurant
,2006001152 FP,1000,Conans Pizza North,"2438 W Anderson Ln
Austin, Tx 78757
(30.356395, -97.731374)",Food Service,Seated,10/01/2018,"2438 W ANDERSON LN
AUSTIN, TX 78757
(30.356395, -97.731374)",2438,"ANDERSON
",W ,LN,,CHRIS STRADER,4107 MEDICAL PARKWAY STE C,AUSTIN,TX,78756,Restaurant
,2006007173 FP,1000,Tic Tac Toe,"2003 W Anderson Ln
Austin, Tx 78757
(30.354597, -97.727735)",Food Service,Seated,10/01/2018,"2003 W ANDERSON LN
AUSTIN, TX 78757
(30.354597, -97.727735)",2003,"ANDERSON
",W ,LN,,SUSANA BRAMBILA ESPINOSA,2003 W ANDERSON LN,AUSTIN,TX,78757,Child Care
,2007102718 FP,1000,Tiniest Bar in Texas,"817 W 5Th St
Austin, Tx 78701
(30.269535, -97.752128)",Food Service,Seated,10/01/2018,"817 W 5TH ST
AUSTIN, TX 78701
(30.269535, -97.752128)",817,"5TH
(43.638367, -108.211504)",W ,ST,,JASON SUBT,817 W. 5TH ST.,AUSTIN,TEXAS,78703,Bar
,2006005718 FP,1000,Phoenix Academy,"400 W Live Oak St
Austin, Tx 78704
(30.243542, -97.756032)",Food Service,Seated,10/01/2018,"400 W LIVE OAK ST
AUSTIN, TX 78704
(30.243542, -97.756032)",400,"LIVE OAK
",W ,ST,,PHOENIX HOUSES OF TEXAS,400 W LIVE OAK,AUSTIN,TX,78704,Other
,2006002048 FP,1000,Whataburger #347,"2801 W Anderson Ln
Austin, Tx 78757
(30.358957, -97.736956)",Food Service,Seated,10/01/2018,"2801 W ANDERSON LN
AUSTIN, TX 78757
(30.358957, -97.736956)",2801,"ANDERSON
",W ,LN,,"WHATABURGER RESTAURANTS, LLC",2711 CENTERVILLE RD MS-BL,WILIMINGTON,DE,19808,Restaurant
,2007129005 FP,1000,Stepping Stone School XII,"7700 W Parmer Ln
Austin, Tx 78729
(30.456469, -97.752836)",Food Service,Seated,10/01/2018,"7700 W PARMER LN
AUSTIN, TX 78729
(30.456469, -97.752836)",7700,"PARMER
",W ,LN,,STEPPING STONE SCHOOL,1910 JUSTIN LN,AUSTIN,TEXAS,78757,Child Care
,2005003582 FP,1000,Doc's Motorworks Bar & Grill,"1106 W 38Th St
Austin, Tx 78705
(30.30587, -97.744583)",Food Service,Seated,10/01/2018,"1106 W 38TH ST
AUSTIN, TX 78705
(30.30587, -97.744583)",1106,"38TH
(40.351706, -85.155157)",W ,ST,,WATERLOO RESTAURANT GROUP,"1106 W. 38TH ST., STE. 200",AUSTIN,TX,78705,Restaurant
,2006004847 FP,1000,Golden Fried Chicken,"7101 W Sh 71
Austin, Tx 78736
",Food Service,Seated,10/01/2018,"7101 W SH 71
AUSTIN, TX 78736
",7101,"SH
",W ,71,,JOHN  SHINSKI,607 SHADYWOOD LN.,DRIPPING SPRINGS,TX,78620,Restaurant
,2006007576 FP,1000,Craigo's Pizza and Pastaria,"4970 W Us 290 Hwy Wb
Austin, Tx 78735
",Food Service,Seated,10/01/2018,"4970 W US 290 HWY WB
AUSTIN, TX 78735
",4970,"US 290 HWY
",W ,WB,,CRAIG PLACKIS,8410 LA PLATA LOOP,AUSTIN,TX,78737,Restaurant
,2014057533 FP,1000,Dang Banh Mi,"9070 Research Blvd Sb Unit 201-B 2
Austin, Tx 78757
",Food Service,Seated,10/01/2018,"9070 RESEARCH BLVD SB Unit 201-B 2
AUSTIN, TX 78757
",9070,"RESEARCH BLVD
",,SB,Unit 201-B 2,"DANG BANH MI BURNET,LLC",811 BARTON SPRINGS RD. STE. #600,AUSTIN,TEXAS,78704,General Food Service
,2006003304 FP,1000,HEB Food Store #227 (Deli),"2110 W Slaughter Ln
Austin, Tx 78748
(30.173754, -97.825398)",Food Service,Carryout,10/01/2018,"2110 W SLAUGHTER LN
AUSTIN, TX 78748
(30.173754, -97.825398)",2110,"SLAUGHTER
",W ,LN,,"HEB GROCERY COMPANY, L.P.",P.O. BOX 839986,SAN ANTONIO,TX,78283,Restaurant
,2005005572 FP,1000,Caritas Of Austin,,Food Service,Cafeteria/Buffet,10/01/2018,,,"#VALUE!
",,,,CARITAS OF AUSTIN,P.O. BOX 1947,AUSTIN,TX,78767,Restaurant
,2016047691 FP,1050,Hunan Chef at 620,"11815 N Fm 620 Rd
Austin, Tx 78750
",Food Service,,10/01/2018,"11815 N FM 620 RD
AUSTIN, TX 78750
",11815,"FM 620
",N ,RD,,TIGER VO LLC,11815 N RR 620,AUSTIN,TEXAS,78750,General Food Service
,2005007589 FP,1046,Tapioca House,"1906 Guadalupe St
Austin, Tx 78705
(30.2825, -97.742091)",Food Service,Seated,10/01/2018,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.2825, -97.742091)",1906,"GUADALUPE
",,ST,,LUCIA LIU,1906 GUADALUPE ST,AUSTIN,TX,78705,Restaurant
,2006001294 FP,1100,Carving Board Deli,"6448 E Us 290 Hwy Wb
Austin, Tx 78752
",Food Service,Carryout,10/01/2018,"6448 E US 290 HWY WB
AUSTIN, TX 78752
",6448,"US 290 HWY
",E ,WB,,MARYANN SIEGEL,"6448 HWY 290 E, SUITE #A-100",AUSTIN,TX,78723,Delicatessen
862609,2008066118 FP,1100,KIPP Austin Collegiate,"8509 Fm 969 Rd Bldg 652
Austin, Tx 78725
",Food Service,,10/01/2018,"8509 FM 969 RD Bldg 652
AUSTIN, TX 78725
",8509,"FM 969
",,RD,Bldg 652,"KIPP AUSTIN PUBLIC SCHOOLS, INC.,","8509 FM 969 RD., BLDG 615",AUSTIN,TEXAS,78724,School
,2015131945 FP,1100,P. Terry's Burger Stand,"1800 E Oltorf St
Austin, Tx 78741
(30.232049, -97.736473)",Food Service,Carry Out,10/01/2018,"1800 E OLTORF ST
AUSTIN, TX 78741
(30.232049, -97.736473)",1800,"OLTORF
",E ,ST,,TERRY ENTERPRISES,5555 N. LAMAR STE E113,AUSTIN,TEXAS,78751,General Food Service
,2016026661 FP,1100,Ideal Soul Mart,"1326 Rosewood Ave
Austin, Tx 78702
(30.268831, -97.724552)",Retail Food,,10/01/2018,"1326 ROSEWOOD AVE
AUSTIN, TX 78702
(30.268831, -97.724552)",1326,"ROSEWOOD
",,AVE,,BOBBY CONTRELL MITCHELL,1326 ROSEWOOD AVE,AUSTIN,TEXAS,78702,General Food Service
,2015081999 FP,1122,Lick Honest Ice Creams,"6555 Burnet Rd Unit 200
Austin, Tx 78757
(30.341523, -97.738751)",Food Service,Carry Out,10/01/2018,"6555 BURNET RD Unit 200
AUSTIN, TX 78757
(30.341523, -97.738751)",6555,"BURNET
",,RD,Unit 200,CHAD PALMATIER,2000 WINDY TERRACE SUITE 3D,CEDAR PARK,TEXAS,78613,Other
,2006006615 FP,1195,CoCo's Cafe,"1910 Guadalupe St
Austin, Tx 78705
(30.282621, -97.742079)",Food Service,Seated,10/01/2018,"1910 GUADALUPE ST
AUSTIN, TX 78705
(30.282621, -97.742079)",1910,"GUADALUPE
",,ST,,ANNIE YANG,1910 GUADALUPE ST.,AUSTIN,TX,78705,Restaurant
,2011111778 FP,1200,Austin Hookah Lounge,"2621 Jones Rd Bldg A
Austin, Tx 78745
(30.225222, -97.8031)",Food Service,Seated,10/01/2018,"2621 JONES RD Bldg A
AUSTIN, TX 78745
(30.225222, -97.8031)",2621,"JONES
",,RD,Bldg A,ANWAR THABATAH,"2621 JONES RD., UNIT A",AUSTIN,TEXAS,78745,Other
,2006001919 FP,1200,Gracy Woods Nursing Home,"12021 Metric Blvd
Austin, Tx 78758
(30.402656, -97.700957)",Food Service,Cafeteria/Buff,10/01/2018,"12021 METRIC BLVD
AUSTIN, TX 78758
(30.402656, -97.700957)",12021,"METRIC
",,BLVD,,"PM MGMT- AUSTIN NC, LLC",12021 METRIC BLVD,AUSTIN,TX,78758,Nursing Home
,2006005824 FP,1200,Sunflower Restaurant,"8557 Research Blvd Nb
Austin, Tx 78758
(30.36101, -97.716698)",Food Service,Seated,10/01/2018,"8557 RESEARCH BLVD NB
AUSTIN, TX 78758
(30.36101, -97.716698)",8557,"RESEARCH BLVD
",,NB,,NANCY PHAM,8557 RESEARCH BLVD. STE #146,AUSTIN,TX,78758,Restaurant
,2005005915 FP,1200,ABIA Maudie's,"3600 Presidential Blvd
Austin, Tx 78719
(30.202654, -97.667216)",Food Service,Carryout,10/01/2018,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202654, -97.667216)",3600,"PRESIDENTIAL
",,BLVD,,BRAZOS CONCESSIONS CO./SALT LICK JV,"40 FOUNTAIN PLAZA, ATTN:  LICENSING",BUFFALO,NY,14202,Restaurant
,2005007672 FP,1200,Simon's Cafe,"1212 Rio Grande St
Austin, Tx 78701
(30.276465, -97.747104)",Food Service,Seated,10/01/2018,"1212 RIO GRANDE ST
AUSTIN, TX 78701
(30.276465, -97.747104)",1212,"RIO GRANDE
",,ST,,TAE PARK,1212 RIO GRANDE ST,AUSTIN,TX,78701,Restaurant
,2012005167 FP,1200,Zaytouna Lounge,"11800 N Lamar Blvd Bunit B
Austin, Tx 78758
",Food Service,Seated,10/01/2018,"11800 N LAMAR BLVD Bunit B
AUSTIN, TX 78758
",11800,"LAMAR
",N ,BLVD,Bunit B,AMINE NAJAH,11800 NORTH LAMAR BLD 5B,AUSTIN,TEXAS,78753,Other
,2005006687 FP,1200,Joe Cook's Catering,"1814 E Martin Luther King Jr Blvd
Austin, Tx 78722
(30.279741, -97.721519)",Food Service,Caterer,10/01/2018,"1814 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78722
(30.279741, -97.721519)",1814,"MARTIN LUTHER KING JR
",E ,BLVD,,VAIL J. COOK,PO BOX 4125,AUSTIN,TX,78765,"Rest,Restrict"
,2007137127 FP,1200,Residence Inn Parmer Lane,"12401 N Lamar Blvd
Austin 78753
(30.405972, -97.678552)",Food Service,Seated,10/01/2018,"12401 N LAMAR BLVD
AUSTIN 78753
(30.405972, -97.678552)",12401,"LAMAR
",N ,BLVD,,"RLJ II-R AUSTIN PARMER LESSEE, LP",12401 N LAMAR,AUSTIN,TX,78753,Restaurant
,2011067760 FP,1200,Donut Taco Palace I,"5446 W Us 290 Hwy Wb Unit 101
Austin, Tx 78735
",Food Service,,10/01/2018,"5446 W US 290 HWY WB Unit 101
AUSTIN, TX 78735
",5446,"US 290 HWY
",W ,WB,Unit 101,DONUT TACO PALACE I LLC,5446 US HWY 290 W STE 101,AUSTIN,TEXAS,78735,Other
,2014135762 FP,1200,Beto's Mexican Restaurant,"3518 E 7Th St
Austin, Tx 78702
(30.256582, -97.702484)",Food Service,,10/01/2018,"3518 E 7TH ST
AUSTIN, TX 78702
(30.256582, -97.702484)",3518,"7TH
(29.52033, -98.59599)",E ,ST,,B & L BETO'S INC.,3518 E. 7TH STREET # A,AUSTIN,TEXAS,78702,General Food Service
,2015049480 FP,1200,d'lites,"8127 Mesa Dr Bunit 204
Austin, Tx 78759
(30.37344, -97.756075)",Food Service,Carry Out,10/01/2018,"8127 MESA DR Bunit 204
AUSTIN, TX 78759
(30.37344, -97.756075)",8127,"MESA
",,DR,Bunit 204,DOUGLAS FRENCH,3015 SEA JAY DRIVE,AUSTIN,TEXAS,78745,General Food Service
,2016027491 FP,1200,Burger Tex 2,"2912 Guadalupe St
Austin, Tx 78705
(30.295831, -97.742525)",Food Service,,10/01/2018,"2912 GUADALUPE ST
AUSTIN, TX 78705
(30.295831, -97.742525)",2912,"GUADALUPE
",,ST,,HAE MAN PAE,9108 HOPELAND DR,AUSTIN,TEXAS,78749,General Food Service
,2015020088 FP,1200,Hay Elotes,0,Food Service,,10/01/2018,0,1200,"HOWARD
",W ,LN,Bunit D,IVAN GONZALEZ,1200 WEST HOWARD LN SUITE D,AUSTIN,TEXAS,78753,General Food Service
,2015020064 FP,1200,Subway # 7225,"6705 W Us 290 Hwy Unit 609
Austin, Tx 78749
",Food Service,Seated,10/01/2018,"6705 W US 290 HWY Unit 609
AUSTIN, TX 78749
",6705,"US 290
",W ,HWY,Unit 609,"VHA FOODS, LLC","9070 RESEARCH BLVD, STE 104",AUSTIN,TEXAS,78758,General Food Service
,2014134343 FP,1200,888 Mini,"1007 S Congress Ave Bldg 10
Austin, Tx 78704
(30.254652, -97.747793)",Food Service,,10/01/2018,"1007 S CONGRESS AVE Bldg 10
AUSTIN, TX 78704
(30.254652, -97.747793)",1007,"CONGRESS
",S ,AVE,Bldg 10,KEVIN LE,2400 E OLTORF # 1A,AUSTIN,TEXAS,78741,General Food Service
,2006001058 FP,1200,Texaco-Citgo,"13701 N Ih 35 Svrd Nb
Austin, Tx 78660
",Retail Food,,10/01/2018,"13701 N IH 35 SVRD NB
AUSTIN, TX 78660
",13701,"IH 35 SVRD
",N ,NB,,AMIR L ALI,13701 N IH 35,PFLUGERVILLE,TX,78660,Convenience Store
,2006000834 FP,1200,Scenic Brook Food Mart,"7216 W Sh 71
Austin, Tx 78735
(30.236605, -97.877961)",Retail Food,,10/01/2018,"7216 W SH 71
AUSTIN, TX 78735
(30.236605, -97.877961)",7216,"SH
",W ,71,,KARIM D. DHUKKA,9305 LA PUENTE DR.,AUSTIN,TX,78735,Convenience Store
,2005000840 FP,1200,Wok'N Express,"4413 Guadalupe St
Austin, Tx 78751
(30.310732, -97.733065)",Retail Food,,10/01/2018,"4413 GUADALUPE ST
AUSTIN, TX 78751
(30.310732, -97.733065)",4413,"GUADALUPE
",,ST,,CINDY LEE,4413 GUADALUPE ST,AUSTIN,TX,78751,Convenience Store
R066171,2008000794 FP,1240,Dream Dinners,"12129 N Fm 620 Rd
Austin, Tx 78750
",Food Service,Carry Out,10/01/2018,"12129 N FM 620 RD
AUSTIN, TX 78750
",12129,"FM 620
",N ,RD,,STACY ADAMS,10312 EMBER GLEN,AUSTIN,TEXAS,78726,Other
,2014111217 FP,1200,Word of Mouth Bakery,"917 W 12Th St
Austin, Tx 78703
(30.276746, -97.750981)",Retail Food,,10/01/2018,"917 W 12TH ST
AUSTIN, TX 78703
(30.276746, -97.750981)",917,"12TH
(32.40623, -87.04958)",W ,ST,,WORD OF MOUTH,919 W 12TH ST,AUSTIN,TEXAS,78703,Bakery
155625,2006003495 FP,1290,Thundercloud Subs,"6920 N Fm 620 Rd
Austin, Tx 78732
",Food Service,Seated,10/01/2018,"6920 N FM 620 RD
AUSTIN, TX 78732
",6920,"FM 620
",N ,RD,,CUMULUS INC.,1102 W. 6TH ST,AUSTIN,TX,78703,Restaurant
,2015051002 FP,1300,Waffle House #1683,"8800 E Us 290 Hwy Wb
Austin, Tx 78754
",Food Service,Seated,10/01/2018,"8800 E US 290 HWY WB
AUSTIN, TX 78754
",8800,"US 290 HWY
",E ,WB,,ROGER RIFENBURGH,1506 LORSON LOOP,ROUND ROCK,TX,78665,General Food Service
,2011097382 FP,1378,Larry's Giant Subs,"5030 W Us 290 Hwy Wb Unit 550
Austin, Tx 78735
",Food Service,,10/01/2018,"5030 W US 290 HWY WB Unit 550
AUSTIN, TX 78735
",5030,"US 290 HWY
",W ,WB,Unit 550,TBP SUB LLC,5030 W US 290 SUITE 550,AUSTIN,TEXAS,78735,General Food Service
,2014094265 FP,1359,Pie Plante,"3913 Todd Ln Unit 203
Austin, Tx 78744
(30.212473, -97.736825)",Food Service,,10/01/2018,"3913 TODD LN Unit 203
AUSTIN, TX 78744
(30.212473, -97.736825)",3913,"TODD
",,LN,Unit 203,MARK PLANTE,604 NORTH BLUFF DR #215,AUSTIN,TEXAS,78745,General Food Service
,2015090366 FP,1355,Together Restaurant,"9200 N Lamar Blvd Unit 101
Austin, Tx 78753
(30.361294, -97.698022)",Food Service,Seated,10/01/2018,"9200 N LAMAR BLVD Unit 101
AUSTIN, TX 78753
(30.361294, -97.698022)",9200,"LAMAR
",N ,BLVD,Unit 101,M.J. TOGETHER INC.,9200 N. LAMAR BLVD #101,AUSTIN,TEXAS,78753,General Food Service
